Date,Category_Display,Payer,Description,Amount_Charged_Display,Shared_Amount_Display,RyanOwes,JordynOwes,BalanceImpact,Cumulative_Balance_Display,Who_Paid_Text,Share_Type,Shared_Reason,DataQuality_Audit,DataQualityFlag,TransactionID
,RENT,Jordyn,Rent for Jan-24,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,c1b599be9f07d321
,RENT,Jordyn,Rent for Feb-24,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,3544e5e35eb3aed8
,RENT,Jordyn,Rent for Mar-24,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,8ad1aafc403bbc80
,RENT,Jordyn,Rent for Apr-24,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,af3939e8e4dfc528
,RENT,Jordyn,Rent for May-24,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,c49a50052235b899
,RENT,Jordyn,Rent for Jun-24,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,32c6b9cf9c5a8f3a
,RENT,Jordyn,Rent for Jul-24,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,6961d63e45e16853
,RENT,Jordyn,Rent for Aug-24,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,fa07107b4ff22525
,RENT,Jordyn,Rent for Sep-24,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,79efc131446c4fe9
,RENT,Jordyn,Rent for Oct-24,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,0fada6f553b61872
,RENT,Jordyn,Rent for Nov-24,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,21b97eb6b6034bc2
,RENT,Jordyn,Rent for Dec-24,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,1d4bdea6b41e652e
,RENT,Jordyn,Rent for Jan-25,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,7a6ccf23bbdabc3b
,RENT,Jordyn,Rent for Feb-25,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,ea626a1840d56a11
,RENT,Jordyn,Rent for Mar-25,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,c7fc11fa74ae448b
,RENT,Jordyn,Rent for Apr-25,0.0,0.0,0.0,0.0,0.0,0.0,Jordyn,SHARED,<NA>,CLEAN,RENT_VARIANCE_HIGH,7ff713383a19d98e
