If you make no additional charges using this,You will pay off the New Balance shown on,And you will end up paying an estimated,Unnamed: 0,Annual,Unnamed: 1,Days in,Unnamed: 2,Unnamed: 3,4296,04/17,04/18,2469216FX30V8MG0E,QT 478 MESA  AZ,6.99
card and each month you pay ...,this statement in about ...,total of ...,,,,,,,,,,,,
Only the minimum payment,25 years,"$30,183",,,,,,,,,,,,
,,"$14,401",,,,,,,,,,,,
$400,3 years,,,,,,,,,,,,,
,,"(Savings of $15,782)",,,,,,,,,,,,
,,,,,Balance Subject,,,Balance as of,,,,,,
,,,Type of Balance,Percentage Rate,,Billing,Interest Charge,,,,,,,
,,,,,to Interest Rate,,,05/17/2024,,,,,,
,,,,(APR),,Cycle,,,,,,,,
,,,PURCHASES,,,,,,,,,,,
,,,,0.00%,$0.00,30,$0.00,"$10,240.80",,,,,,
,,,PROMOTIONAL RATE EXPIRES 06/17/24,,,,,,,,,,,
,,,CASH ADVANCES,29.99% variable,$0.00,30,$0.00,$0.00,,,,,,
,,,,,,,,,4296,04/19,04/19,2413746FZEJKXEWBJ,TRADER JOE S #091 TEMPE  AZ,1.07
,,,,,,,,,4296,04/19,04/19,2413746FZ016X6LNZ,TST* 12 WEST BREWING GILBERT  AZ,11.80
,,,,,,,,,4296,04/19,04/19,2442733FZLM8V7NM1,SPROUTS FARMERS MAR CHANDLER  AZ,17.59
,,,,,,,,,4296,04/19,04/19,2444500FZ00P13MXM,FAMILY DOLLAR CHANDLER  AZ,5.31
,,,,,,,,,4296,04/22,04/22,2444500G18PR056HM,FRYS FUEL #7658 GILBERT  AZ,35.22
,,,,,,,,,4296,04/23,04/23,2444500G28PRR7KYF,FRYS-FOOD-DRG #051 CHANDLER  AZ,38.51
,,,,,,,,,4296,04/26,04/26,2469216G62Y7HXHV2,TST* THE HUB BAR & GRILL Phoenix  AZ,34.36
,,,,,,,,,4296,04/28,04/28,2401339G703PV4GFR,ENDGAME BAR MESA  AZ,6.50
,,,,,,,,,4296,04/28,04/28,2401339G703PV4G9S,ENDGAME BAR MESA  AZ,7.50
,,,,,,,,,4296,04/28,04/28,2449215G7LRMZNGPJ,UBERTRIP HELP.UBER.COM CA,10.67
,,,,,,,,,4296,04/28,04/28,2469216G72ZHADY9W,LOWES #01032* CHANDLER  AZ,127.83
,,,,,,,,,4296,04/28,04/28,2469216G8302ZBQPJ,IN-N-OUT CHANDLER 2 CHANDLER  AZ,12.86
,,,,,,,,,4296,04/29,04/29,2475542G94N4H4T07,COCA COLA TEMPE AZ TEMPE  AZ,3.75
,,,,,,,,,4296,04/30,04/30,2416407G92LZEXA30,TARGET00018382 CHANDLER  AZ,2.62
,,,,,,,,,4296,04/30,04/30,2416407G92LZEX9RP,TARGET00018382 CHANDLER  AZ,20.59
,,,,,,,,,4296,04/30,04/30,2443106G92D9TY3LR,TARGET.COM  *800-591-3869 MN,3.22
,,,,,,,,,4296,05/01,05/01,2442733GBLM8NZ89L,SPROUTS FARMERS MAR CHANDLER  AZ,5.36
,,,,,,,,,4296,05/01,05/01,2469216GB32E0ED4Z,QT 478 MESA  AZ,9.29
,,,,,,,,,4296,05/02,05/02,2469216GB32AJDKWS,AMZN Mktp US*L17PN90G3 Amzn.com/bill WA,9.89
,,,,,,,,,4296,05/03,05/03,2443106GE2MQN6V2J,COOPERS HAWK CHANDLER CHANDLER  AZ,49.72
,,,,,,,,,4296,05/03,05/03,2444500GQ8PTFXVLV,FRYS #658 GILBERT  AZ,27.39
,,,,,,,,,4296,05/03,05/03,2444500GQ8PTFXVPQ,FRYS FUEL #7658 GILBERT  AZ,34.79
,,,,,,,,,4296,05/04,05/04,2413746GEEJSDFKEN,WHOLEFDS CHR#10272 CHANDLER  AZ,16.13
,,,,,,,,,4296,05/04,05/04,2413746GEEJSDFKHA,WHOLEFDS CHR#10272 CHANDLER  AZ,9.73
,,,,,,,,,4296,05/04,05/04,2413746GE01FGN320,WHOLEFDS CHR 10272 CHANDLER  AZ,16.22
,,,,,,,,,4296,05/05,05/05,2469216GE34RDS6SF,Amazon.com*G24VL9SL3 Amzn.com/bill WA,24.13
,,,,,,,,,4296,05/06,05/06,2444500GF8PR5EQVN,FRYS-FOOD-DRG #051 CHANDLER  AZ,13.98
,,,,,,,,,4296,05/06,05/06,2449215GFLSRZ90TG,BLIZZARD *US721309684949-955-1380 CA,96.38
,,,,,,,,,4296,05/08,05/08,2442733GJLM8NQ37Y,SPROUTS FARMERS MAR CHANDLER  AZ,40.09
,,,,,,,,,4296,05/11,05/11,2413746GL2XQEKSQS,TST* SNOOZE - 3006 - CIRC PHOENIX  AZ,59.35
,,,,,,,,,4296,05/11,05/11,2444500GL8PRZZWXS,FRYS-FOOD-DRG #051 CHANDLER  AZ,56.68
,,,,,,,,,4296,05/11,05/11,2469216GM30TZ85PH,TST* THE HUB BAR & GRILL Phoenix  AZ,35.03
,,,,,,,,,4296,05/12,05/12,2460316GP0FV9WRFM,FARM AND CRAFT SCOTTSDALE SCOTTSDALE  AZ,83.15
,,,,,,,,,4296,05/14,05/14,2444500GP8PR4L9EL,FRYS #658 GILBERT  AZ,77.00
,,,,,,,,,4296,05/14,05/14,2444500GP8PR4L9LA,FRYS FUEL #7658 GILBERT  AZ,30.91
,,,,,,,,,4296,05/15,05/15,2444500GR8PRMSD6E,FRYS-FOOD-DRG #051 CHANDLER  AZ,19.26
,,,,,,,,,4296,05/15,05/15,2469216GT3425T5TR,QT 478 MESA  AZ,6.98
