month,gross_total,ryan_share,jordyn_share,previous_balance,rent_difference,new_balance
Jan 2024,2119.72,911.48,1208.24,1139.79,0.0,843.03
Feb 2024,2196.4,944.45,1251.95,843.03,0.0,1459.64
Mar 2024,2177.81,936.46,1241.35,824.86,0.0,7385.95
Apr 2024,2179.58,937.22,1242.36,7385.95,0.0,5343.59
May 2024,2159.41,928.55,1230.86,5343.59,0.0,3612.73
Jun 2024,2173.85,934.76,1239.09,3612.73,0.0,2248.53
Jul 2024,2175.81,935.6,1240.21,2248.53,0.0,2826.74
Aug 2024,2165.94,931.35,1234.5858,2826.74,0.0,2523.51
Sep 2024,2165.18,931.03,1234.1526,2523.51,0.0,2220.38
Oct 2024,2165.18,931.03,1234.1526,2220.38,0.0,1917.26
Nov 2024,2090.0,898.7,1191.3,1917.26,0.0,1624.66
Dec 2024,2090.0,898.7,1191.3,1624.66,0.0,1332.06
